Científicas;Año nacimiento;Fecha;Bio;Especialidad;Cartel;Año;Otros carteles;Instagram;Pais;Wikipedia
Raissa L. Berg (27 de marzo de 1913-1 de marzo de 2006);1913;1-mar;La genetista y bióloga evolutiva Raissa L’vovna Berg (1913-2006) nació un 27 de marzo.Sus primeras investigaciones se centraron en el estudio de caracteres hereditarios en poblaciones de Drosophila melanogaster.También estudió los patrones de correlación en las plantas y la genética de poblaciones de enfermedades hereditarias humanas.;Genetista;no;-;-;-;Rusia;-
Rebecca Lee Crumpler (8 de febrero de 1831-9 de marzo de 1895);1831;1-mar;Rebecca Davis Lee Crumpler (Christiana, Delaware, 8 de febrero de 1831-9 de marzo de 1895) fue la primera médica afroestadounidense. Se casó con Arthur Crumpler quien había servido con el Ejército de la Unión durante la Guerra de Secesión. Su publicación de A Book of Medical Discourses en 1883 fue uno de los primeros escritos sobre medicina realizado por un afroamericano. El 1 de marzo de 1864, Rebecca Lee Crumpler se convierte en la primera mujer negra en recibir un título médico estadounidense, del New England Female Medical College en Boston. Comenzó en 1852-1860 como enfermera en Massachusetts.;Médica pionera;no;-;-;-;-;-
Silvia Kochen (17 de febrero de 1954);1954;1-mar;"El 1 de marzo de 2001, Silvia Kochen (17 de febrero de 1954) , una neurocientífica argentina, médica e Investigadora Principal del CONICET presentó el proyecto de ley de epilepsia que se aprobó el 7 de marzo de ese año en Argentina. Sus investigaciones se centran en la epilepsia, la cognición, el envejecimiento y los trastornos mentales en los ancianos. Su interés es identificar los factores de riesgo y protección para el deterioro cognitivo que pueden compararse con los estudios transversales y longitudinales de personas mayores sanas que viven en la comunidad y personas con trastornos mentales que viven en países desarrollados. Nació en el barrio de trabajadores Mataderos de Buenos Aires, y es la primera generación universitaria de su familia.Directora de la Unidad de Estudios de Neurociencias y Sistemas Complejos desde el 20 mayo 2016. Fundadora, junto a otras, de la Red Argentina de Género, Ciencia y Tecnología (RAGCYT), divulga aportes de la neurociencia al conocimiento sobre cerebro y mujer que permiten discutir los estereotipos binarios de género que están en la base de la mirada dominante respecto de lo femenino.  Es además colaboradora científica de CAMEDA, para la investigación del uso medicinal de la cannabis.Ha recibido diversos premios y honores entre los que se encuentra el Premio International Bureau for Epilepsy (2012). El 1 de noviembre de 2019 formó parte de las biografías de científicas argentinas del libro ""Rebelión en el Laboratorio"" (Nora Bär).Actualmente además dirige cortometrajes documentales como “Sara Méndez” y “Primera línea de Fuego. Honor y gratitud”. El 11 de mayo de 2023 estrenó el que ha dirigido junto a Emiliano Serra “Cannabis Medicinal”.Es madre de Leandro y Mariel, ambos antropólogos, y tienen 2 nietas y un nieto. Del padre de sus hijos se divorció cuando eran pequeños y dice que está enamorada del mismo hombre desde hace 32 años.Nos dice: “Estoy convencida que nosotras además de aportar nuestro valioso trabajo, debemos disputar aún por los lugares de jerarquía que nos merecemos. Y es imprescindible incorporar la perspectiva de género, no solo para preservarnos y contar con recursos para defendernos de actitudes patriarcales, sino para ser más felices en nuestra tarea cotidiana.”Cartel hecho por @pilar_terron# SilviaKochen #Epilepsia #Medicina #neurociencia #SheStem #womeninstem #MujeresEnCiencia #womeninsteam #girlsinstem #girlsinscience #NoMoreMatildas #mujeresconciencia #concieMcia";Neurociencia;Si;2021;-;-;Argentina;-
Blanche Ames Ames (18 de Febrero de 1878 – 2 de Marzo de 1969);1878;2-mar;Blanche Ames Ames (February 18, 1878 – March 2, 1969) was an American artist, political activist, inventor, writer, and prominent supporter of women's suffrage and birth control. Ames held patents for inventions which included a hexagonal lumber cutter and a method for entrapping enemy aircraft.During World War II, Ames came across the realization that thread could snarl and jam a sewing machine motor, Blanche then used that same principle to design a device to ensnare low-flying aircraft. The machine was demonstrated on the lawn at Borderland for guests from the Pentagon. Although it was accepted by the U.S. Army, it came too late for it to be applied in war.In the early 1910s Ames' brother, Adelbert Ames, Jr., a scientist particularly interested in vision, moved into her studio for painting lessons. With her brother Ames began to develop a color notation system more extensive than the Munsell color system. Together the two created coded color swatches which corresponded to particular tubes of paint. The artist would use these swatches to select the most realistic colors and the codes would be mapped out on a drawing before the paint was applied. Blanche Ames Ames first put this system to use in a painting in 1912. She continued to use this color notation after her collaboration with her brother had concluded;inventora;no;2023;-;-;EEUU;-
Clotilde Costa (2 de marzo de 1990);1990;2-mar;Clotilde Costa (2 de marzo de 1990), PhDLiquid Biopsy LabRoche-Chus Joint Unit (http://www.roche-chus.es/) Clotilde Costa, nació en Moaña, un pueblo marinero de la Ría de Vigo. Desde pequeña tuvo claro que quería estudiar algo en el área de ciencias de la vida, le gustaba mucho leer, la naturaleza y el mar. Estudió Biología en la Universidad de Vigo y en 2006 se mudó a Madrid. Allí obtiene el doctorado en el año 2011 en el Departamento de Oncología Molecular del CIEMAT – Universidad Autónoma de Madrid. Su tesis se centra en el estudio de genes implicados en el ciclo celular -Familia Retinoblastoma y Factores E2Fs- y su papel en el carcinoma de células escamosas empleando para ello animales transgénicos. En 2013 vuelve a Galicia, se incorpora al grupo de Oncología Médica Traslacional en el Instituto de Investigación Sanitaria de Santiago de Compostela en el proyecto Europeo InveNNta donde se centra en el aislamiento y caracterización de Células Tumorales Circulantes en pacientes con cáncer metastásico. Desde el 2015 lidera la Línea de Biopsia Líquida de la Unidad Mixta Roche-Chus. Sus intereses se centran en el estudio de resistencias e identificación de biomarcadores con utilidad clínica en pacientes con cáncer de mama metastásico mediante el uso de biopsia líquida. Ha publicado artículos científicos de relevancia en el campo y es inventora de una patente. Actualmente disfruta de un contrato de investigador financiado por la AECC.;Bióloga Molecular;no;-;-;tildinhaclo;España;-
Elizabeth «Jake» Feinler (2 de marzo de 1931);1931;2-mar;Nace Elizabeth «Jake» Feinler. Fue directora del Network Information Systems Center en el Stanford Research Institute (SRI International) desde 1972 hasta 1989, responsable de gestionar los dominios de internet.;Informática;no;-;-;-;EEUU;-
Elizabeth «Lizzie» Magie (9 mayo 1866- 2 marzo 1948);1866;2-mar;Un 9 de mayo Nace Elizabeth «Lizzie» Magie. Fue la inventora de «The Landlord’s Game» («El Juego del propietario»), precursor de Monopoly.;Inventora;no;-;-;-;EEUU;-
Frances Bilas Spence (2 de marzo de 1922 – 18 de julio de 2012);1922;2-mar;Un 2 de marzo nace una de las 6 programadoras de la primera computadora digital de propósito general ENIAC, Frances Bilas Spence (1922 – 2012): matemática, ingeniera, programadora, informática teórica y física.Nació en Filadelfia (USA) y fue la segunda de cinco hermanas. Su padre era Ingeniero del Sistema de Escuelas Públicas de Filadelfia y su madre maestra. Estudio en la Universidad Temple y en el Chestnut Hill College. Se graduó en Matemáticas con orientación en física (1942). Mientras estudiaba conoció a Kathleen McNulty. Ambas fueron empleadas en la Moore School of Engineering para trabajar en cálculo de trayectorias balísticas y seleccionadas para ser parte del primer equipo de programadores de ENIAC (Electronic Numerical Integrator And Calculator), la primera computadora electrónica de propósito general y que fue utilizada por el Laboratorio de Investigación Balística del Ejército de los Estados Unidos. Este grupo estaba formado por Jean Jennings Bartik, Betty Snyder Holberton, Ruth Lichterman Teitelbaum, Kathleen McNulty Mauchly Antonelli y Marlyn Wescoff Meltzer durante muchos años consideradas las “refrigerator ladies” o mujeres florero.En 1947, Bilas se casó con Homer Spence, un ingeniero electrónico de la armada y poco tiempo después renunció a su puesto y tuvo tres hijos.En 1997, Frances fue incluida en el Women in Technology International Hall of Fame, junto a sus seis compañeras de la ENIAC por sentar las bases para que la programación fuera sencilla y accesible para todos. Crearon el primer set de rutinas, las primeras aplicaciones de software y las primeras clases en programación. Su trabajo modificó la evolución de la programación y allanó el camino para las computadoras electrónicas.Kathy Kleiman estrena en 2013 el documental “The Computers” sobre el equipo de programadoras de ENIAC. Combina imágenes reales de ENIAC con entrevistas a los miembros del equipo femenino. “The Coders” y “The Future-Maker” le siguen.Cartel hecho por @pilar_terron#FrancesBilasSpence #ENIAC #WomenInTech #Informática #SheStem #womeninstem #MujeresEnCiencia #womeninsteam #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy;Informática;Si;Muerte en 2021;Cartel el 18 de julio;-;EEUU;-
Grete Hermann (2 de marzo de 1901 - 15 de febrero de 1984);1901;2-mar;Un 2 de marzo nació la matemática y filósofa Grete (Henry-) Hermann (1901 - 1984). Conocida por su trabajo en matemática, física, filosofía y educación, se hizo notar por 1ª vez por su obra filosófica sobre los fundamentos de la mecánica cuántica. Nació en Bremen, Alemania. Hija de un comerciante, era la 3ª de 7 hermanos. Se formó como profesora de secundaria, pero en 1921 se centró en el estudio de matemáticas y filosofía en la universidad de Gotinga. Allí se convirtió en pupila y protegida de Emmy Noether, quién dirigió su tesis doctoral (1926). Matemática menos abstracta que su mentora, probó que la demostración del teorema de Lasker-Noether se podía convertir en un algoritmo de computación primaria mucho antes de que los ordenadores fuesen algo común. A la vez trabajó como asistente del filósofo Leonard Nelson y publicó en 1932 un tratado sobre filosofía de la ética y la educación. En los años 30 trabajó con físicos como Heisenberg o von Weizsäcker en Leipzig. En 1935 descubrió un error de lógica en la supuesta demostración de John von Neumann. Vio que era imposible que existieran variables ocultas en la mecánica cuántica. Pero como ese error invalidaba el trabajo de von Neumann, su refutación pasó desapercibida durante tres décadas por la fuerte influencia que tenía el teorema en el desarrollo de la mecánica cuántica, dándose el teorema, aunque falso, por bueno hasta que su trabajo fue redescubierto por John Bell, en torno a 1965, que al demostrar también el error de von Neumann. Durante el régimen nazi, tuvo que exiliarse en Dinamarca donde trabajó en una escuela con un nuevo modelo educativo propuesto por ella, pero el miedo a una invasión alemana la llevaron a Londres donde se casó en 1937 (parece que para obtener la residencia legal allí). Al acabar la guerra, se divorció y volvió a Alemania donde reconstruyó y desarrolló la Escuela de pedagogía de Bremen. Fue profesora de física y filosofía, y fundó un sindicato de educación y ciencia. Cartel hecho por @pilar_terron #GreteHermann #Cuántica #Filosofía #Física #Matemáticas #WomenInTech #Informática #MujeresEnCiencia #womeninsteam #NoMoreMatildas #mujeresconciencia #concieMcia #TaldíaComoHoy;Matemática;Si;2021;-;-;Alemania;-
Jakoba Mulder (2 de marzo de 1900 -5 de noviembre de 1988);1900;2-mar;Un 5 de noviembre falleció la arquitecta e influyente urbanista del periodo de la posguerra en Ámsterdam KO MULDER (1900-1988).Jakoba Helena Mulder nació ún 2 de marzo en Breda (Holanda) pero creció en Semarang (India), donde su padre era oficial del ejército indio real de los Países Bajos. Con trece años se fue con su hermana menor a vivir con sus tíos a Laren (Gelderland, Holanda).En 1918 Mulder ingresó a la Universidad Tecnológica de Delft. En 1926 se convirtió la primera graduada en el área del diseño urbano y empezó a trabajar como urbanista en el plan de expansión de Delf.En 1929 entró en el nuevo Departamento de Desarrollo Urbano del Ministerio de Obras Públicas de Ámsterdam y en 1930, se convirtió en la segunda jefa del departamento.Su primer gran proyecto fue la creación del Bosque de Amsterdam, un parque de estilo inglés inaugurado en 1937 como el más grande de los Países Bajos. A pesar de su deterioro durante la guerra, después se realizaron mejoras y se completó el plan original en 1964.También diseñó el Spaarnwoude y el Beatrixpark en 1936, y colaboró en el Plan General de Extensión (AUP) de 1934, abogando por reducir la altura de los edificios en el barrio Bijlmermeer.A partir de 1947, impulsó el desarrollo de parques infantiles, promoviendo una ley que permitía a los ciudadanos identificar vacíos urbanos para la construcción de áreas de juegos. En 1958 coge la jefatura del Departamento para liderar el plan urbano de Lelystad donde estuvo hasta 1972, sin embargo no figura en los registros municipales de la ciudad a la que dedicó su vida.En 1965 fue profesora titular en la Universidad de Ámsterdam y fue miembro de la Asociación de Mujeres con Formación Académica (VVAO) y del Club Soroptimista.#KoMulder#Arquitecta#Urbanista#MujeresEnCiencia#womeninsteam#NoMoreMatildas#mujeresconciencia#concieMcia#taldíacomohoyCartel de @pilar_terron;Arquitecta Urbanista;si;-;-;-;Holanda;si
Mercedes Vegas Minguell (2 de Marzo de 1928);1928;2-mar;Mercedes Vegas Minguell (Badalona, 2 de Marzo de 1928). Sus estudios sobre la cerámica común romana supusieron un hito dentro de esta categoría creando la primera tipología y única para todo el Mediterráneo. Estudia Historia en la Universidad de Barcelona licenciándose en 1945. Entre 1953 y 1955 será Asistente de Conservador en el Museo Arqueológico de Barcelona, bajo la dirección de Martín Almagro Basch. En Septiembre de 1955 viaja a Roma con una beca de un año del Consejo Superior de Investigación para investigar en la Escuela Española de Historia y Arqueología donde inicia una larga vinculación con las excavaciones del santuario de Gabi, estudiando parte del material cerámico proveniente de las intervenciones arqueológicas. Entre 1959 y 1969, trabaja en la Deutsche Forschung Gemeinschaft, con sede en el Landes Museum Bonn, bajo la dirección del Dr. von Petrikovitsch. Durante este periodo y estimulada por el Dr. Maluquer, que ocupaba entonces la Cátedra de Arqueología de la Universidad de Barcelona, inició la investigación para la Tesis Doctoral sobre la Cerámica Común del Mediterráneo Occidental, presentada en 1972. Mercedes Vegas inició su trabajo como freelance en el Instituto Arqueológico Alemán de Madrid y de Roma. En España colaboró en Mulva y Tarragona bajo la dirección del Dr. Theodor Hauschild y en Chemtou y Cartago (Túnez) y Siga (Argelia) con el Dr. Friedrich Rakob. Entre 1949 hasta 1997 es Honorary Research Fellow del Institute of Archaeology, University College London. Desde 1969 es corresponsal del Instituto Arqueológico Alemán (Korrespondierende Mitglieder des DAI).;Arqueóloga;no;-;-;-;España;-
Purificación Fenoll Hach-Alí (Granada, 2 de marzo de 1935);1935;2-mar;Purificación Fenoll Hach-Alí (Granada, 2 de marzo de 1935) es una química, geóloga, catedrática emérita entre 2005 y 2008, Defensora Universitaria e investigadora española, miembro del Club de Roma. atedrática de Cristalografía, Mineralogía y Yacimientos Minerales, en la Universidad de Granada. Presidenta de la Sociedad Española de Mineralogía y de la Sociedad de Geología Aplicada a los Depósitos Minerales, Secretaria Ejecutiva de la Universidad Euro-Árabe.Premio Mujeres Investigadoras y Científicas, Medalla de Andalucía y Medalla de Oro de la UGR.;química, geóloga;no;-;-;-;España;-
Vera Pless (5 de marzo de 1931 - 2 de marzo de 2020);1931;2-mar;Un 2 de mazo falleció la matemática experta en combinatoria y teoría de códigos Vera Pless (1931-2020). Vera Stepen nació en Chicago, EEUU, hija de inmigrantes judíos de Rusia. De adolescente, estaba más interesada en tocar el chelo que en las matemáticas. Dejó la escuela secundaria dos años antes de ir a la Universidad de Chicago, donde terminó sus estudios. Inspirada por Irving Kaplansky estudió matemáticas e hizo un máster en álgebra abstracta (1952). Se casó con un físico experimental que estaba haciendo el doctorado y ella empezó el suyo. Cuando él se doctoró se mudaron al Instituto Tecnológico de Massachusetts (MIT) donde obtuvo una plaza. Vera completó su doctorado en Northwestern (1957) poco antes del nacimiento de su 1º hijo. Aburrida de ser ama de casa, 2 años más tarde, impartía 2 cursos en la Universidad de Boston. Más tarde solicitó un puesto a tiempo completo, pero no querían mujeres en la universidad. Ayudó a fundar la organización Mujeres en Ciencia e Ingeniería, de la que fue presidenta. En 1963, le ofrecieron un puesto en corrección de errores en códigos en el Laboratorio de Investigación de la Fuerza Aérea de Cambridge (AFCRL) en Massachusetts. Trabajo allí mientras familiares y amigos la hacían sentir culpable. Se convirtió en una de las mayores expertas en codificación. En esa época tuvo una hija y un hijo más. Cuando en 1972 la enmienda Mansfield prohibió a los militares hacer investigación básica, se fue al MIT donde trabajó como investigadora asociada para el proyecto MAC. En 1975 volvió a la Universidad de Illinois (Chicago) como catedrática de Matemáticas, Estadística y Computación sin su marido ni su hijo menor (5 años después, se divorciaron). Autora del libro An Introduction to the Theory of Error-Correcting Codes, entre otros, y de más de 120 artículos, se retiró en 2006. En 2012 se convirtió en miembro de la Sociedad Matemática Americana. Murió con 88 años en Oak Park. Era una entusiasta de la docencia, el teatro y la música, y firme defensora de los derechos de la mujer. Cartel hecho por @pilar_terron #VeraPless #Matemáticas #womeninMaths #MujeresEnCiencia #NoMoreMatildas #mujeresconciencia #concieMcia #TalDíaComoHoy;Matemática;si;2022;-;-;EEUU;-
